id,question,predicted_answer,raw_model_output,reason,evidence_sources,retrieved_paths,top_score,used_fallback,fallback_reason,retried
10,อยากใช้ซิม 2 ค่ายพร้อมกันครับ ใส่ซิมได้ 2 ใบมั้ย ไม่อยากพกมือถือ 2 เครื่อง มองอยู่รุ่น X9 Pro,2,"วิเคราะห์ที่นี่:\n\nจากหลักฐานทั้งหมด พบว่า:\n\n- คำถาม: อยากใช้ซิม 2 ค่ายพร้อมกัน ใส่ซิมได้ 2 ใบมั้ย ไม่อยากพกมือถือ 2 เครื่อง มองอยู่รุ่น X9 Pro\n\n- หลักฐานที่เกี่ยวข้อง:\n  - [1] ระบุว่า ""X9 ไม่รองรับ eSIM นะคะ รองรับ Dual nanoSIM เท่านั้น คือต้องใส่ซิมการ์ดจริง 2 ใบในช่องซิม ถ้าต้องการ eSIM ต้องเลือก X9 Pro หรือ X9 Pro Max ค่ะ""\n  - [3] ระบุว่า ""X9 Pro รองรับ eSIM + nanoSIM Dual SIM""\n  - [4] ระบุว่า ""X9 รองรับ Dual nanoSIM แต่ไม่มี eSIM และไม่รองรับ Wireless Charging (เฉพาะ X9 Pro และ Pro Max เท่านั้น)""\n  - [6] ระบุว่า ""X9 Pro รองรับ eSIM + nanoSIM Dual SIM""\n\nดังนั้น ข้อมูลชัดเจนว่า:\n- X9 Pro รองรับการใส่ซิมได้ 2 ใบ แบบ Dual nanoSIM\n- แต่ยังรองรับ eSIM ด้วย ทำให้สามารถใช้ซิมจริง 1 ใบ + eSIM 1 ใบ หรือ 2 ซิมจริง หรือ 1 ซิมจริง + 1 eSIM ได้\n- ดังนั้น สามารถใช้ซิม 2 ค่ายพร้อมกันได้ โดยไม่ต้องพกมือถือ 2 เครื่อง\n\nตัวเลือกที่ 2 ระบุว่า: ""X9 Pro ใส่ได้ 2 ซิมพร้อมกัน แบบ Dual nanoSIM (ใส่ซิมจริง 2 ใบ)"" — ซึ่งตรงกับข",,[],"['knowledge_base/products/SF-SP-003_saifah_phone_x9.md', 'knowledge_base/store_info/buying_guide_smartphones_2569.md', 'knowledge_base/products/SF-SP-002_saifah_phone_x9_pro.md', 'knowledge_base/products/SF-SP-003_saifah_phone_x9.md', 'knowledge_base/products/SF-SP-010_saifah_phone_x9_fe.md', 'knowledge_base/products/SF-SP-001_saifah_phone_x9_pro_max.md', 'knowledge_base/products/SF-SP-003_saifah_phone_x9.md', 'knowledge_base/products/SF-SP-002_saifah_phone_x9_pro.md', 'knowledge_base/products/JC-CS-004_judchuam_film_glass_x9_pro_2pack.md', 'knowledge_base/products/SF-SP-002_saifah_phone_x9_pro.md']",0.581340849,False,,False
11,โน้ตบุ๊คดาวเหนือ ครีเอเตอร์บุ๊ก 16 OLED ต่อจอเพิ่มได้กี่จอครับ อยากต่อ 2 จอ 4K ทำงานออกแบบ,1,"[1] วิเคราะห์หลักฐานทั้งหมด:\n\n- คำถาม: ต้องการต่อจอ 4K 2 จอพร้อมกัน สำหรับงานออกแบบ\n- ต้องการทราบว่า **โน้ตบุ๊คดาวเหนือ ครีเอเตอร์บุ๊ก 16 OLED ต่อจอ 4K ได้กี่จอ**\n\n---\n\n### วิเคราะห์จากหลักฐาน:\n\n**จาก [1] ชิ้นที่ 1 (DN-LT-014_daonuea_creatorbook_16_oled.md#chunk_0005):**\n> ""ต่อได้ครับ พอร์ต Thunderbolt 4 สองพอร์ตรองรับการต่อจอ 4K สองจอพร้อมกัน หรือจอ 8K หนึ่งจอผ่านสาย Thunderbolt 4/USB4 ครับ""\n\n> หมายความว่า: สามารถต่อจอ 4K ได้ **2 จอพร้อมกัน** ผ่าน Thunderbolt 4 สองพอร์ต\n\n**จาก [2] ชิ้นที่ 2 (DN-LT-014_daonuea_creatorbook_16_oled.md#chunk_0001):**\n> พอร์ต: Thunderbolt 4 ×2 (รองรับ 8K/Dual 4K), USB-A 3.2 Gen2 ×2, HDMI 2.1, SD Card (UHS-II), Audio 3.5 มม.\n\n> สรุป: มี Thunderbolt 4 สองพอร์ต → รองรับการต่อจอ 4K สองจอพร้อมกัน\n\n**จาก [3] ชิ้นที่ 3 (DN-LT-004_daonuea_probook_16.md#chunk_0006):**\n> ""ต่อได้พร้อมกัน 2 จอครับ ผ่าน Thunderbolt 4 จอหนึ่ง (รองรับสูงสุด 6K) และ HDMI 2.1 อีกจอหนึ่ง (รองรับสูงสุด 4K@",,[],"['knowledge_base/products/DN-LT-014_daonuea_creatorbook_16_oled.md', 'knowledge_base/products/DN-LT-014_daonuea_creatorbook_16_oled.md', 'knowledge_base/products/DN-LT-004_daonuea_probook_16.md', 'knowledge_base/products/DN-LT-014_daonuea_creatorbook_16_oled.md', 'knowledge_base/products/DN-LT-006_daonuea_probook_14_max.md', 'knowledge_base/products/DN-LT-004_daonuea_probook_16.md', 'knowledge_base/products/DN-LT-004_daonuea_probook_16.md', 'knowledge_base/products/DN-LT-015_daonuea_creatorbook_14.md', 'knowledge_base/products/DN-LT-006_daonuea_probook_14_max.md', 'knowledge_base/products/DN-DT-002_daonuea_tower_x10_max.md']",0.633949339,False,,False
12,จะซื้อโน้ตบุ๊คเล่น Genshin Impact ลื่นๆ กราฟิกสูงๆ มีรุ่นไหนตอบโจทย์บ้าง แล้วได้กี่ FPS,7,"[1] วิเคราะห์หลักฐานทั้งหมด:\n\n- คำถาม: ต้องการโน้ตบุ๊คเล่น Genshin Impact ลื่นๆ กราฟิกสูงๆ ได้กี่ FPS\n- ต้องการรุ่นที่ตอบโจทย์: ลื่น, กราฟิกสูง, ได้ FPS สูง\n- ต้องเปรียบเทียบสเปคและ FPS ของแต่ละรุ่น\n\n**ข้อมูลจากหลักฐาน:**\n\n1. **StormBook G7 (DN-LT-007)**:\n   - GPU: StormForce GX-4070 (8GB)\n   - ความละเอียด: 1080p\n   - กราฟิก: High-Ultra\n   - FPS: 80-120 FPS (ตามข้อมูลใน [1] และ [4])\n   - หน้าจอ: 16 นิ้ว, 144Hz, sRGB 100%\n   - รองรับการเล่นเกม AAA ระดับ High-Ultra ได้ดี\n\n2. **StormBook G5 (DN-LT-008)**:\n   - GPU: StormForce GX-4060 (8GB)\n   - ความละเอียด: 1080p\n   - กราฟิก: Medium-High\n   - FPS: 60-90 FPS (ตามข้อมูลใน [2] และ [3])\n   - หน้าจอ: 15.6 นิ้ว, 120Hz\n\n3. **StormBook G9 Titan (DN-LT-010)**:\n   - GPU: StormForce GX-4090 (16GB)\n   - ความละเอียด: 4K Ultra (ไม่ใช่ 1080p)\n   - แต่ข้อมูลใน [7] ระบุว่า ""เล่นเกม AAA ระดับ Ultra ที่ความละเอียด QHD+ ด้วยเฟรมเรตสูง"" → ไม่ได้ระบุว่าที่ 1080p ได้กี่ FPS แต",,[],"['knowledge_base/products/DN-LT-007_daonuea_stormbook_g7.md', 'knowledge_base/products/DN-LT-007_daonuea_stormbook_g7.md', 'knowledge_base/products/DN-LT-008_daonuea_stormbook_g5.md', 'knowledge_base/products/DN-LT-007_daonuea_stormbook_g7.md', 'knowledge_base/products/DN-LT-010_daonuea_stormbook_g9_titan.md', 'knowledge_base/products/DN-LT-007_daonuea_stormbook_g7.md', 'knowledge_base/products/DN-LT-010_daonuea_stormbook_g9_titan.md', 'knowledge_base/products/DN-LT-009_daonuea_stormbook_g5_2024.md', 'knowledge_base/products/DN-LT-009_daonuea_stormbook_g5_2024.md', 'knowledge_base/products/DN-LT-008_daonuea_stormbook_g5.md']",0.579606116,False,,False
13,ทำงานในคาเฟ่เสียงดังมากเลย ต้องการหูฟังครอบหูที่ตัดเสียงรบกวนได้ดี แล้วก็ใช้สายโทรศัพท์ชัดๆ ด้วย มีรุ่นไหนแนะนำบ้างคะ,6,"วิเคราะห์ที่นี่:\n\nคำถาม: ต้องการหูฟังครอบหูที่ตัดเสียงรบกวนได้ดี และใช้สายโทรศัพท์ชัดเจน\n\nต้องการ:\n- ตัดเสียงรบกวนได้ดี (ANC)\n- ใช้สายโทรศัพท์ชัดเจน (ไมโครโฟนคุณภาพดี)\n- ใช้ในคาเฟ่เสียงดัง\n\nวิเคราะห์ตัวเลือกทีละตัว:\n\n1. เฮดออน 700: มี ANC แต่ไม่รองรับ Multipoint → ไม่สามารถเชื่อมต่อ 2 อุปกรณ์พร้อมกันได้ → ไม่ตอบโจทย์การใช้สายโทรศัพท์ชัดเจนในทุกอุปกรณ์\n2. เฮดออน 300: มี ANC, ราคา 2,490 บาท, Bluetooth 5.1, แบต 50 ชม., ไมโครโฟนสำหรับโทรศัพท์ได้ชัดเจน → ตรงกับทุกข้อที่ต้องการ\n3. บัดส์ Z5 Pro: มี ANC, ไมโครโฟน 6 ตัว → แต่เป็นหูฟัง TWS แบบไร้สาย ไม่ใช่หูฟังครอบหู → ไม่ตรงกับ ""หูฟังครอบหู""\n4. เฮดโปร X1: มี ANC, ไม่มีไมโครโฟนในตัว → ต้องซื้อไมโครโฟนแยก 1,990 บาท → ไม่ตอบโจทย์เรื่องไมโครโฟนชัดเจน\n5. สตูดิโอโปร M1: มี ANC ระดับสตูดิโอ, ไดรเวอร์ 50 มม. → แต่ไม่มี Multipoint → ไม่รองรับการใช้สายโทรศัพท์ชัดเจนในหลายอุปกรณ์\n6. เฮดโปร X1: มี ANC, ตัดเสียงรบก",,[],"['knowledge_base/products/KS-HP-001_kluensiang_headpro_x1.md', 'knowledge_base/products/KS-HP-007_kluensiang_studiopro_m1.md', 'knowledge_base/products/KS-HP-004_kluensiang_headon_500.md', 'knowledge_base/products/KS-HP-003_kluensiang_headon_700.md', 'knowledge_base/products/KS-HP-003_kluensiang_headon_700.md', 'knowledge_base/products/KS-EB-007_kluensiang_buds_open_ring.md', 'knowledge_base/products/KS-HP-008_kluensiang_gamestorm_h1.md', 'knowledge_base/products/KS-HP-005_kluensiang_headon_300.md', 'knowledge_base/products/KS-HP-004_kluensiang_headon_500.md', 'knowledge_base/products/KS-HP-007_kluensiang_studiopro_m1.md']",0.533553123,False,,False
14,ซื้อสายฟ้า X9 Pro มา อยากทราบว่าหัวชาร์จ 67W มาในกล่องด้วยเลยหรือต้องซื้อแยกคะ,2,"วิเคราะห์ที่นี่:\n- คำถาม: ซื้อสายฟ้า X9 Pro มา อยากทราบว่าหัวชาร์จ 67W มาในกล่องด้วยเลยหรือต้องซื้อแยกคะ\n- ต้องการทราบว่า ""หัวชาร์จ 67W"" อยู่ในกล่องของ ""สายฟ้า X9 Pro"" หรือไม่\n\nตรวจสอบจากหลักฐานทั้งหมด:\n- หลักฐาน [6] ระบุว่า ""สายฟ้า โฟน X9 Pro (SaiFah Phone X9 Pro)"" มี ""หัวชาร์จ 67W × 1"" อยู่ในกล่อง\n- หลักฐาน [6] ยังระบุว่า ""หัวชาร์จ 67W"" อยู่ในกล่องของ X9 Pro ทุกรุ่นทุกสี\n- ไม่มีข้อมูลว่าต้องซื้อแยก หรือต้องลงทะเบียนออนไลน์\n- ไม่มีข้อมูลว่าชาร์จเต็มใน 35 นาที หรือ 55 นาที หรือมีระบบ AI Charge Management\n- ไม่มีข้อมูลว่ามีสาย USB-C to Lightning หรือไม่\n\nดังนั้น ข้อมูลที่ชัดเจนคือ:\n- หัวชาร์จ 67W อยู่ในกล่องของ X9 Pro\n- ไม่ต้องซื้อแยก\n- ไม่มีข้อมูลว่าต้องลงทะเบียน\n\nตัวเลือกที่ถูกต้องที่สุดคือ:\n- ตัวเลือก 2: หัวชาร์จ 67W มาในกล่อง X9 Pro ทุกรุ่นทุกสี พร้อมสาย USB-C to USB-C 1 เมตร\n\nแม้จะไม่ระบุว่า ""สาย USB-C to Lightning"" แต่จากข้อมูลทั้งหมด ไม่มีข้อมูลว่าต้องซื้อแยก หรือมีสายอื่น\n\nด",,[],"['knowledge_base/products/JC-CH-001_judchuam_charger_67w_usbc.md', 'knowledge_base/products/SF-SP-010_saifah_phone_x9_fe.md', 'knowledge_base/products/SF-SP-003_saifah_phone_x9.md', 'knowledge_base/products/SF-TB-001_saifah_tab_s9_pro.md', 'knowledge_base/products/SF-TB-002_saifah_tab_s9.md', 'knowledge_base/products/SF-SP-002_saifah_phone_x9_pro.md', 'knowledge_base/products/SF-SP-001_saifah_phone_x9_pro_max.md', 'knowledge_base/products/JC-CH-002_judchuam_charger_100w_usbc_dual.md', 'knowledge_base/products/JC-CH-003_judchuam_charger_30w_usbc.md', 'knowledge_base/products/JC-CH-001_judchuam_charger_67w_usbc.md']",0.623934746,False,,False
15,อยากฟังเพลง Lossless จาก streaming ได้คุณภาพดีๆ มีหูฟังครอบหูรุ่นไหนที่รองรับ LDAC บ้างคะ,7,วิเคราะห์ที่นี่:\n\nคำถาม: อยากฟังเพลง Lossless จาก streaming ได้คุณภาพดีๆ มีหูฟังครอบหูรุ่นไหนที่รองรับ LDAC บ้างคะ\n\nต้องการหูฟังที่ **รองรับ LDAC** เพื่อฟังเพลง **Lossless คุณภาพสูง** ผ่าน Bluetooth\n\nตรวจสอบจากหลักฐานทั้งหมด:\n\n- รุ่นที่ **รองรับ LDAC** ต้องมีข้อมูลในสเปคหรือความเข้ากันได้\n- รุ่นที่ **รองรับ Hi-Res Audio** หรือ **มีข้อมูลว่ารองรับ LDAC** คือรุ่นที่ใช้ได้\n\nตรวจสอบทีละรุ่น:\n\n1. **คลื่นเสียง บัดส์ Z5 Pro** → ไม่มีข้อมูลในหลักฐานเลย → ไม่เกี่ยวข้อง\n2. **คลื่นเสียง เฮดออน 500** → ไม่มีข้อมูลในหลักฐาน → ไม่เกี่ยวข้อง\n3. **คลื่นเสียง เฮดออน 300** → รองรับ **SBC และ AAC** แต่ **ไม่รองรับ LDAC** → ไม่ใช่\n4. **คลื่นเสียง เฮดออน 700** → รองรับ **SBC และ AAC** แต่ **ไม่รองรับ LDAC** → ไม่ใช่\n5. **คลื่นเสียง เฮดโปร X1** → รองรับ **LDAC** (990 kbps) ผ่าน Bluetooth 5.3 → ใช่\n6. **ทุกรุ่นของคลื่นเสียงที่เป็นหูฟังครอบหูรองรับ LDAC ผ่าน Bluetooth 5.3** → ไม่จริง เพราะรุ่น 300 และ 700 ไม่รองรับ LDAC → ผิด\n7. **คลื่นเสียง เฮดโปร X1** → รองรับ,,[],"['knowledge_base/products/KS-HP-001_kluensiang_headpro_x1.md', 'knowledge_base/products/KS-HP-001_kluensiang_headpro_x1.md', 'knowledge_base/products/KS-HP-002_kluensiang_headpro_x1_se.md', 'knowledge_base/products/KS-HP-003_kluensiang_headon_700.md', 'knowledge_base/products/KS-HP-001_kluensiang_headpro_x1.md', 'knowledge_base/products/KS-HP-003_kluensiang_headon_700.md', 'knowledge_base/products/KS-HP-002_kluensiang_headpro_x1_se.md', 'knowledge_base/products/KS-HP-005_kluensiang_headon_300.md', 'knowledge_base/products/KS-HP-003_kluensiang_headon_700.md', 'knowledge_base/products/KS-HP-002_kluensiang_headpro_x1_se.md']",0.587182939,False,,False
16,อยากได้นาฬิกาที่วัดคลื่นหัวใจ ECG ได้ มีรุ่นไหนบ้างคะ แล้ว Watch S3 ตัวธรรมดามี ECG มั้ย,4,"[1] วิเคราะห์หลักฐานทั้งหมด:\n\n- คำถาม: อยากได้นาฬิกาที่วัดคลื่นหัวใจ ECG ได้ มีรุ่นไหนบ้างคะ แล้ว Watch S3 ตัวธรรมดามี ECG มั้ย\n- ต้องการรู้ว่า: รุ่นไหนมี ECG และ Watch S3 ตัวธรรมดามี ECG หรือไม่\n\n[2] ตรวจสอบหลักฐานที่เกี่ยวข้อง:\n\n- หลักฐาน [1] ระบุชัดเจนว่า: ""Watch S3 Pro มีฟังก์ชัน ECG (คลื่นไฟฟ้าหัวใจ) ครบ นี่คือความแตกต่างหลักจาก Watch S3 (WK-SW-003) ที่ไม่มี ECG""\n- หลักฐาน [2] ระบุว่า: ""Watch S3 ไม่มีฟีเจอร์ ECG และไม่มี NFC Pay ซึ่งเป็นความแตกต่างหลักจาก Watch S3 Pro""\n- หลักฐาน [3] ระบุว่า: ""Watch S3 SE ไม่มี ECG""\n- หลักฐาน [4] ระบุว่า: ""Watch S3 Ultra มี ECG (คลื่นไฟฟ้าหัวใจ)""\n- หลักฐาน [5] ระบุว่า: ""Watch S3 Pro มี ECG (Electrocardiogram) หรือการวัดคลื่นไฟฟ้าหัวใจ ที่ช่วยตรวจจับภาวะหัวใจเต้นผิดปกติ (Atrial Fibrillation) ได้จากข้อมือ""\n\n[3] สรุป:\n- Watch S3 ตัวธรรมดามี ECG หรือไม่? → ไม่มี\n- รุ่นที่มี ECG: Watch S3 Pro, Watch S3 Ultra\n- ดังนั้น ต้องเลือกตัวที่มี ECG คือ Watch S3 Pro หรือ Watch S3 Ultra\n\n[4] ตัวเลือกที่ถูกต้อง:\n",,[],"['knowledge_base/products/WK-SW-002_wongkhojon_watch_s3_pro.md', 'knowledge_base/products/WK-SW-003_wongkhojon_watch_s3.md', 'knowledge_base/products/WK-SW-004_wongkhojon_watch_s3_se.md', 'knowledge_base/products/WK-SW-001_wongkhojon_watch_s3_ultra.md', 'knowledge_base/products/WK-SW-002_wongkhojon_watch_s3_pro.md', 'knowledge_base/products/WK-SW-003_wongkhojon_watch_s3.md', 'knowledge_base/products/WK-SW-004_wongkhojon_watch_s3_se.md', 'knowledge_base/products/WK-SW-008_wongkhojon_watch_s2_pro.md', 'knowledge_base/products/WK-SW-006_wongkhojon_watch_classic_c1.md', 'knowledge_base/products/WK-SW-003_wongkhojon_watch_s3.md']",0.571200371,False,,False
17,มองหาโน้ตบุ๊คเอาไว้ตัดต่อวิดีโอ 4K ครับ อยากได้จอสีแม่น แล้วก็พอร์ตอ่าน SD card ความเร็วสูงด้วย,1,"**วิเคราะห์ที่นี่:**\n\nคำถาม: มองหาโน้ตบุ๊คเอาไว้ตัดต่อวิดีโอ 4K ครับ อยากได้จอสีแม่น แล้วก็พอร์ตอ่าน SD card ความเร็วสูงด้วย\n\nต้องการสินค้าที่:\n1. ตัดต่อวิดีโอ 4K ได้ (ต้องมีประสิทธิภาพสูง)\n2. จอสีแม่น (Pantone Validated, DCI-P3 100% หรือใกล้เคียง)\n3. มีพอร์ต SD Card ความเร็วสูง (UHS-II)\n\n---\n\n**วิเคราะห์ตัวเลือกทีละตัว:**\n\n- **ตัวเลือก 1:** ดาวเหนือ ครีเอเตอร์บุ๊ก 16 OLED  \n  - จอ: 4K OLED, Pantone Validated, DCI-P3 100%  \n  - มี SD Card UHS-II (312MB/s) ✅  \n  - RAM: 16GB (อาจไม่พอตัดต่อ 4K หนัก)  \n  - ราคา: 54,990 บาท  \n  → จอสีแม่น พอร์ต SD ความเร็วสูง แต่ RAM น้อย อาจไม่พอตัดต่อ 4K หนัก\n\n- **ตัวเลือก 2:** ดาวเหนือ โปรบุ๊ก 16  \n  - จอ: 3.5K mini-LED, DCI-P3 98% (ไม่ถึง 100%)  \n  - มี SD Card UHS-II ✅  \n  - ไม่ได้ระบุ Pantone Validated  \n  - ราคา: 59,990 บาท  \n  → จอสีดี แต่ไม่แม่นเท่า 100% และไม่ได้ Pantone Validated\n\n- **ตัวเลือก 3:** ดาวเหนือ สตอร์มบุ๊ก G7  \n  - ",,[],"['knowledge_base/products/DN-LT-006_daonuea_probook_14_max.md', 'knowledge_base/products/DN-LT-004_daonuea_probook_16.md', 'knowledge_base/products/DN-LT-005_daonuea_probook_14.md', 'knowledge_base/products/DN-LT-015_daonuea_creatorbook_14.md', 'knowledge_base/products/DN-LT-014_daonuea_creatorbook_16_oled.md', 'knowledge_base/products/DN-DT-003_daonuea_mini_pc_m1.md', 'knowledge_base/products/DN-LT-006_daonuea_probook_14_max.md', 'knowledge_base/products/DN-LT-006_daonuea_probook_14_max.md', 'knowledge_base/products/DN-LT-007_daonuea_stormbook_g7.md', 'knowledge_base/products/NT-LT-001_novatech_slimbook_14.md']",0.542966843,False,,False
18,จะไปเที่ยวญี่ปุ่นช่วงสงกรานต์ หัวชาร์จ 67W ที่ซื้อไว้เอาไปใช้ที่ญี่ปุ่นได้มั้ยครับ ไฟฟ้าต่างกัน,5,"**วิเคราะห์ที่นี่:**\n\nจากหลักฐานที่ให้มา ข้อมูลที่เกี่ยวข้องกับคำถามคือ:\n\n- หัวชาร์จ 67W USB-C ของจุดเชื่อม (รหัส JC-CH-001) ระบุว่า **รองรับไฟฟ้า 100-240V AC, 50/60Hz** ซึ่งหมายความว่า **ใช้ได้ทั่วโลก** รวมถึงญี่ปุ่นที่ใช้ไฟ 100V 50Hz\n- ไม่มีข้อมูลว่าหัวชาร์จ 67W นี้ต้องใช้ Voltage Converter หรือไม่ เพราะรองรับช่วงแรงดันไฟฟ้าที่กว้าง (100-240V)\n- ไม่มีข้อมูลว่าการใช้ในญี่ปุ่นจะทำให้ประกันเป็นโมฆะ หรือลดความเร็วชาร์จลง\n- ไม่มีข้อมูลว่าหัวชาร์จ 67W นี้เป็นรุ่น International Version หรือไม่ แต่จากสเปคที่ระบุว่า ""ใช้ได้ทั่วโลก"" แสดงว่าไม่จำเป็นต้องซื้อแยก\n- ไม่มีข้อมูลว่าฟ้าใหม่มีบริการจัดส่งต่างประเทศ แต่คำถามไม่ได้ถามเรื่องบริการ จึงไม่เกี่ยวข้อง\n\n**สรุป:** หัวชาร์จ 67W ใช้ได้ในญี่ปุ่น เพราะรองรับไฟฟ้า 100-240V ซึ่งครอบคลุมไฟ 100V ของญี่ปุ่น ไม่ต้องใช้ Voltage Converter หรือรุ่น International Version แยก\n\n**คำตอบที่ถูกต้องที่สุดคือ:**  \n**5. ใช้ได้ รองรับไฟฟ้า 100-240V AC 50",,[],"['knowledge_base/products/JC-CH-001_judchuam_charger_67w_usbc.md', 'knowledge_base/products/JC-CH-001_judchuam_charger_67w_usbc.md', 'knowledge_base/products/JC-CH-001_judchuam_charger_67w_usbc.md', 'knowledge_base/products/JC-CH-001_judchuam_charger_67w_usbc.md', 'knowledge_base/products/JC-CH-004_judchuam_charger_20w_usba.md', 'knowledge_base/products/JC-CH-004_judchuam_charger_20w_usba.md', 'knowledge_base/products/JC-CH-004_judchuam_charger_20w_usba.md', 'knowledge_base/products/JC-CH-003_judchuam_charger_30w_usbc.md', 'knowledge_base/products/JC-CH-002_judchuam_charger_100w_usbc_dual.md', 'knowledge_base/products/JC-CH-002_judchuam_charger_100w_usbc_dual.md']",0.43764019,False,,False
